department,n_years,temp_avg_mean,temp_avg_slope_yr,temp_avg_slope_decade,temp_avg_pvalue,temp_avg_r2,temp_max_mean,temp_max_slope_yr,temp_max_slope_decade,temp_max_pvalue,temp_max_r2,precip_mean,precip_slope_yr,precip_slope_decade,precip_pvalue,precip_r2,extreme_heat_mean,extreme_heat_slope_yr,extreme_heat_slope_decade,extreme_heat_pvalue,extreme_heat_r2,temp_avg_sig,temp_max_sig,precip_sig,extreme_heat_sig
Territoire_de_Belfort,33,11.562123,0.050865948837707904,0.5086594883770791,0.00434623921743614,0.23396623797594573,16.369726,0.05679038055440251,0.5679038055440251,0.009034195364563532,0.20018842730635866,0.005451076,-3.61E-05,-0.000360923,0.1110567102684547,0.07985975672356949,0.21212121212121213,0.008355614973261974,0.08355614973261974,0.5451966897152354,0.011926267046611372,**,**,,
Moselle,33,12.332824,0.05069414275215184,0.5069414275215184,0.009686148624350615,0.19692383576514516,17.245491,0.05741971157451296,0.5741971157451297,0.015221348360023925,0.17556731421443428,0.010700289,-9.28E-05,-0.000927712,0.07599910356944324,0.0980529694401221,1,0.028409090909091002,0.28409090909091,0.43484570502009656,0.01979321907600662,**,*,?,
Dordogne,33,13.9293785,0.05064918778159295,0.5064918778159295,0.0059065353647825,0.2199218207270518,19.01174,0.05665848790642925,0.5665848790642926,0.014416914499578095,0.1781482539987732,0.01821287,-5.07E-05,-0.000506589,0.5004005614185463,0.014775544471335333,3.272727272727273,0.0772058823529403,0.772058823529403,0.2807249391306446,0.03742467513521919,**,*,,
Gard,33,13.61987,0.05057743143907716,0.5057743143907716,0.0011434675615896927,0.29295392511237317,18.751144,0.053346861492502194,0.533468614925022,0.006572992369078869,0.2149867792864596,0.011253568,9.668002528874367e-06,9.668002528874368e-05,0.8608993799186934,0.0010060895940322556,0.7272727272727273,0.06216577540106844,0.6216577540106845,0.02334491455600167,0.1551111908177899,**,**,,*
Aveyron,33,11.372762,0.05056481214767991,0.5056481214767992,0.0018632854386415611,0.2718025743469942,16.228003,0.05424949542723737,0.5424949542723737,0.011657414394415306,0.1882077152874021,0.026462505,-6.00E-05,-0.000600427,0.5630504009996343,0.010904054617926318,0.06060606060606061,-0.006684492,-0.06684492,0.3009500621343403,0.03446691176470673,**,*,,
Vosges,33,11.756865,0.0503528162757335,0.503528162757335,0.006242459399381505,0.21737098163316393,16.437769,0.05759356397995906,0.5759356397995906,0.010293504127109948,0.19406820018805881,0.014439979,-0.000112811,-0.001128112,0.09296696288595056,0.08835820740219436,0.2727272727272727,0.010026737967914392,0.10026737967914393,0.5023751380563349,0.014640812077043042,**,*,?,
Charente,33,13.651744,0.05035073680673576,0.5035073680673576,0.006692345490535739,0.21415411607567125,18.609848,0.05387091190419607,0.5387091190419607,0.0216386962104449,0.1587562866349439,0.009049637,-2.51E-05,-0.00025146,0.505034696289103,0.014460732725547487,3.4545454545454546,0.0658422459893019,0.658422459893019,0.3449766856300426,0.0288126306661598,**,*,,
Allier,33,12.199313,0.05024118123844869,0.5024118123844868,0.0034151461726801427,0.24488024114466078,17.369415,0.05574150359566696,0.5574150359566696,0.0131101815413218,0.18265486375865503,0.012636625,-6.19E-05,-0.000619301,0.2241434723514584,0.04728325387731058,1.121212121212121,0.015040106951872205,0.15040106951872206,0.6915737600344316,0.005146211710490678,**,*,,
Cher,33,12.960825,0.050042329943752524,0.5004232994375253,0.004833303900547668,0.22912271048487431,18.007992,0.054904375165540274,0.5490437516554028,0.015748852882478258,0.1739458984124016,0.015333835,-7.20E-05,-0.000719546,0.24868218148672153,0.04268308128045328,2.212121212121212,0.039438502673795145,0.39438502673795145,0.457505316466013,0.01793245322416781,**,*,,
Haute_Savoie,33,8.403342,0.050024299060596314,0.5002429906059631,0.0018007543620304613,0.273297313306605,12.810957,0.05480994770233561,0.5480994770233562,0.0035307732684156192,0.24337959077593518,0.007797164,-9.92E-06,-9.92E-05,0.7257883817850518,0.004024558628156982,0,0,0,,,**,**,,
