department,n_years,mean_yield,tech_trend_yr,tech_trend_pval,coef_temp,coef_temp_pval,coef_precip,coef_precip_pval,coef_extreme_heat,coef_extreme_heat_pval,r2,adj_r2,tech_trend_sig,coef_temp_sig,coef_precip_sig,coef_extreme_heat_sig
Orne,33,6.254931176021583,0.07127677169176375,1.215683398210296e-05,-0.114374761,0.5256151889739054,-2.883724824,0.9470303982821839,0.2042694840997155,0.057246505163046205,0.5786664847081163,0.5184759825235615,***,,,?
Creuse,33,4.180406166583872,0.10823377358408627,1.7044390497109286e-10,-0.108037796,0.47722470806931705,12.151270521060805,0.7062275815596725,0.1223072514486666,0.11794129034640435,0.814918099434541,0.7884778279251897,***,,,
Savoie,33,4.984383353457251,0.059149663774598245,8.671428963802664e-05,-0.103735969,0.5184692383204588,-30.32129914,0.23865191958876497,0,,0.49634228329289587,0.44423976087491956,***,,,
Morbihan,33,5.753426355683666,0.09416660424542432,1.6188290294653675e-07,-0.098580491,0.57707470729739,-76.44834383,0.37739452568242016,-0.00194512,0.9864963257883022,0.7098240235091273,0.6683703125818599,***,,,
Aude,33,4.276951515151515,0.03987753483385334,0.000399707825014512,-0.09845428,0.4664660944509512,-24.34690148,0.42602830230306354,-0.060220214,0.255759563205293,0.41157412677389926,0.32751328774159916,***,,,
Correze,33,3.918832433330737,0.08140200368027528,5.693028617242319e-11,-0.089036032,0.3809350687448071,-6.716728642,0.639699010997882,0.01123957939165696,0.9546977115100159,0.8354206545679657,0.8119093195062465,***,,,
Pyrenees_Orientales,33,2.2423845747800586,0.02755900444124972,0.09154034767388107,-0.084119732,0.6391573182362943,-6.408050841,0.8934216959218589,0.41808354223625366,0.5885451923527036,0.14571142487121358,0.0236701998528156,?,,,
Manche,33,5.442496363636363,0.06144146623566209,3.6632673420722003e-07,-0.067731845,0.5296422066863846,-30.35160617,0.3671942704820921,0.08779513405221054,0.45031192526496755,0.6701789059295635,0.6230616067766441,***,,,
Isere,33,4.9307911996251175,0.055424672269736325,0.0001237011861591187,-0.059376201,0.7093482899357437,-7.831438741,0.794028818595727,0,,0.4879996648475551,0.4350341129352332,***,,,
Deux_Sevres,33,5.220696017316017,0.07185476329325054,5.096645440614298e-06,-0.058063528,0.7485325241031136,-25.92105038,0.5390136416787503,0.005107373034342123,0.8986131588165593,0.6121097601115781,0.5566968686989464,***,,,
