department,temp_avg_slope_decade,extreme_heat_slope_decade,precip_slope_decade,mean_yield,coef_temp,coef_precip,coef_extreme_heat,impact_temp_decade,impact_heat_decade,impact_precip_decade,impact_total_decade,impact_pct_decade
Orne,0.4599194730666731,-0.07018716577541917,-0.0004959480375061032,6.254931176021583,-0.1143747607368974,-2.8837248235610566,0.2042694840997155,-0.052603179690240656,-0.014337096143366082,0.0014301776669527397,-0.065510098166654,-1.0473352355624377
Creuse,0.4631030846406946,-0.030080213903739012,-0.0006169466616804775,4.180406166583872,-0.10803779618789683,12.151270521060805,0.1223072514486666,-0.0500326366723977,-0.003679028285554284,-0.00749668578314486,-0.06120835074109684,-1.4641723388116339
Essonne,0.46830336677835566,0.3241978609625479,-3.61690296477646e-05,6.345362424242424,-0.16270091765908531,-312.90869776274576,0.02803610953115957,-0.07619338751767767,0.009089246739713635,0.011317603966424165,-0.055786536811539875,-0.8791702204181073
Savoie,0.49303568700417383,0.0,-3.804692395905684e-05,4.984383353457251,-0.10373596860477098,-30.321299136188593,0.0,-0.05114553454809667,0.0,0.0011536321625743833,-0.049991902385522285,-1.002970655353928
Haute_Vienne,0.482883797609858,0.0835561497326246,-0.0008414542510418111,4.209486969696969,-0.12482839300232514,-7.722660583296159,0.13103256602295535,-0.060277608462498584,0.010948576706464075,0.006498265577167586,-0.04283076617886692,-1.017481856748691
Morbihan,0.423881178871183,-0.13034759358289721,8.667634307029812e-06,5.753426355683666,-0.09858049093763344,-76.4483438338915,-0.001945119707062562,-0.04178641471234403,0.00025354167304627494,-0.000662626287730249,-0.042195499327028006,-0.7333977480279056
Correze,0.4846505685285981,-0.066844919786094,-0.0013243293459402456,3.918832433330737,-0.0890360318715885,-6.716728642169082,0.01123957939165696,-0.043151363466095743,-0.0007513087828647446,0.008895160849541894,-0.035007511399418594,-0.8933148327973959
Landes,0.41637822587220996,0.6483957219250903,0.00020086179788720272,4.47894606060606,-0.19167329587788995,5.203457420220764,0.0678511443122137,-0.079808586884715,0.04399439169976129,0.0010451758126550485,-0.034769019372298655,-0.7762768048962383
Allier,0.5024118123844868,0.15040106951872206,-0.0006193014572717996,4.794422424242424,-0.0033698102092855945,70.56800474177797,0.0917411037626653,-0.0016930324546389223,0.013797960124732918,-0.04370286817334636,-0.03159794050325236,-0.6590562471817492
Finistere,0.3795916957651112,-0.026737967914437007,0.0001611063281138991,5.713985987022367,-0.0514141040538936,-31.12373378521137,0.159474369062252,-0.01951636694406135,-0.00426402056316158,-0.00501423046732991,-0.02879461797455284,-0.5039322469455003
Isere,0.4903805829624339,0.0,-0.00014450639189980983,4.9307911996251175,-0.059376201374586865,-7.8314387406455195,0.0,-0.029116936244164778,0.0,0.0011316929557950747,-0.027985243288369703,-0.5675609076794286
Bouches_du_Rhone,0.5366555955958128,2.0153743315507535,1.927954533866612e-05,3.1923890749601274,0.01626992179955372,83.88186340628718,-0.018170671511141108,0.0087313445736368,-0.03662070495059433,0.0016172041886333122,-0.026272156188324215,-0.8229622258261973
Deux_Sevres,0.4717836214259211,0.5581550802138674,1.1427706184707584e-05,5.220696017316017,-0.05806352818854912,-25.92105038461195,0.005107373034342123,-0.027393421601559755,0.002850706205665371,-0.00029621814779434686,-0.02483893354368873,-0.47577820009636446
